Model,Estimate,RCP,SSP,RCP-SSP,Region,2015,2025,2035,2045,2055,2065,2075,2085,2095,2105
GFPM,Total Harvest (Mm3/yr),RCP 1.9,SSP1,RCP 1.9-SSP1,World,3811,4718,4807,4964,5057,5403,5263,4975,5363,5827
GFPM,Total Harvest (Mm3/yr),RCP 1.9,SSP2,RCP 1.9-SSP2,World,3811,4533,4522,4610,4861,5514,5547,5183,5711,6251
GFPM,Total Harvest (Mm3/yr),RCP 1.9,SSP4,RCP 1.9-SSP4,World,3811,4533,4314,4198,4408,4921,5500,5798,5501,5369
GFPM,Total Harvest (Mm3/yr),RCP 1.9,SSP5,RCP 1.9-SSP5,World,3811,4533,5340,6380,7406,9009,8846,8130,8174,6456
GFPM,Total Harvest (Mm3/yr),RCP 2.6,SSP1,RCP 2.6-SSP1,World,3811,4746,4872,5064,4987,5139,5104,4941,5343,5746
GFPM,Total Harvest (Mm3/yr),RCP 2.6,SSP2,RCP 2.6-SSP2,World,3811,4533,4545,4630,4657,4940,4953,4807,5227,5538
GFPM,Total Harvest (Mm3/yr),RCP 2.6,SSP4,RCP 2.6-SSP4,World,3811,4533,4543,4625,4338,4278,4631,4916,5299,5632
GFPM,Total Harvest (Mm3/yr),RCP 2.6,SSP5,RCP 2.6-SSP5,World,3811,4533,5086,5771,6265,7164,8087,9001,10121,11936
GFPM,Total Harvest (Mm3/yr),RCP 3.4,SSP1,RCP 3.4-SSP1,World,3811,4753,4933,5175,5776,6836,7494,7974,7800,8021
GFPM,Total Harvest (Mm3/yr),RCP 3.4,SSP2,RCP 3.4-SSP2,World,3811,4597,4817,5094,5707,6822,7800,8474,8736,9436
GFPM,Total Harvest (Mm3/yr),RCP 3.4,SSP3,RCP 3.4-SSP3,World,3811,4516,4733,5004,5593,6735,7358,7789,8064,8634
GFPM,Total Harvest (Mm3/yr),RCP 3.4,SSP4,RCP 3.4-SSP4,World,3811,4597,4743,4944,5185,5756,6605,7070,7389,8029
GFPM,Total Harvest (Mm3/yr),RCP 3.4,SSP5,RCP 3.4-SSP5,World,3811,4597,5328,6203,7085,8617,8824,8754,9171,9460
GFPM,Total Harvest (Mm3/yr),RCP 4.5,SSP1,RCP 4.5-SSP1,World,3811,4757,4901,5112,4921,4969,5060,5110,5030,5031
GFPM,Total Harvest (Mm3/yr),RCP 4.5,SSP2,RCP 4.5-SSP2,World,3811,4621,4650,4739,4584,4683,4667,4558,4537,4573
GFPM,Total Harvest (Mm3/yr),RCP 4.5,SSP3,RCP 4.5-SSP3,World,3811,4553,4500,4510,4196,4119,4375,4532,4794,5028
GFPM,Total Harvest (Mm3/yr),RCP 4.5,SSP4,RCP 4.5-SSP4,World,3811,4621,4648,4734,4467,4450,4371,4216,4348,4545
GFPM,Total Harvest (Mm3/yr),RCP 4.5,SSP5,RCP 4.5-SSP5,World,3811,4621,4955,5407,5578,6014,5933,5817,5679,5564
GFPM,Total Harvest (Mm3/yr),Baseline,SSP1,Baseline-SSP1,World,3811,4758,4946,5197,5046,5138,5455,5659,5612,5484
GFPM,Total Harvest (Mm3/yr),RCP 6.0,SSP2,RCP 6.0-SSP2,World,3811,4637,4775,4965,4788,4875,4872,4713,4680,4652
GFPM,Total Harvest (Mm3/yr),RCP 6.0,SSP3,RCP 6.0-SSP3,World,3811,4618,4723,4874,4572,4547,4808,4897,4910,4945
GFPM,Total Harvest (Mm3/yr),RCP 6.0,SSP4,RCP 6.0-SSP4,World,3811,4637,4734,4884,4602,4592,4514,4338,4290,4307
GFPM,Total Harvest (Mm3/yr),RCP 6.0,SSP5,RCP 6.0-SSP5,World,3811,4637,5104,5687,5615,5793,5732,5633,5511,5469
GFPM,Total Harvest (Mm3/yr),Baseline,SSP2,Baseline-SSP2,World,3811,4758,4915,5110,4935,5012,4983,4837,4816,4744
GFPM,Total Harvest (Mm3/yr),Baseline,SSP3,Baseline-SSP3,World,3811,4758,4879,5030,4733,4676,4969,5048,5036,4986
GFPM,Total Harvest (Mm3/yr),Baseline,SSP4,Baseline-SSP4,World,3811,4758,4873,5028,4745,4709,4625,4472,4396,4351
GFPM,Total Harvest (Mm3/yr),Baseline,SSP5,Baseline-SSP5,World,3811,4758,5254,5844,5773,5951,5893,5779,5575,5444
GFPM,Roundwood Harvest (Mm3/yr),RCP 1.9,SSP1,RCP 1.9-SSP1,World,1954,2026,2221,2444,2481,2528,2469,2437,2342,2245
GFPM,Roundwood Harvest (Mm3/yr),RCP 1.9,SSP2,RCP 1.9-SSP2,World,1954,1893,1809,1763,1693,1656,1620,1563,1527,1492
GFPM,Roundwood Harvest (Mm3/yr),RCP 1.9,SSP4,RCP 1.9-SSP4,World,1954,1893,1807,1760,1662,1594,1535,1466,1397,1349
GFPM,Roundwood Harvest (Mm3/yr),RCP 1.9,SSP5,RCP 1.9-SSP5,World,1954,1893,1979,2123,2150,2178,2155,2115,2058,1962
GFPM,Roundwood Harvest (Mm3/yr),RCP 2.6,SSP1,RCP 2.6-SSP1,World,1954,2047,2273,2527,2593,2671,2640,2612,2563,2565
GFPM,Roundwood Harvest (Mm3/yr),RCP 2.6,SSP2,RCP 2.6-SSP2,World,1954,1893,1997,2136,2155,2188,2152,2133,2083,2043
GFPM,Roundwood Harvest (Mm3/yr),RCP 2.6,SSP4,RCP 2.6-SSP4,World,1954,1893,1995,2131,2113,2106,2038,1986,1914,1866
GFPM,Roundwood Harvest (Mm3/yr),RCP 2.6,SSP5,RCP 2.6-SSP5,World,1954,1893,2181,2559,2712,2869,2845,2839,2672,2547
GFPM,Roundwood Harvest (Mm3/yr),RCP 3.4,SSP1,RCP 3.4-SSP1,World,1954,2052,2287,2552,2627,2714,2685,2668,2544,2538
GFPM,Roundwood Harvest (Mm3/yr),RCP 3.4,SSP2,RCP 3.4-SSP2,World,1954,1937,2058,2200,2232,2280,2261,2258,2223,2245
GFPM,Roundwood Harvest (Mm3/yr),RCP 3.4,SSP3,RCP 3.4-SSP3,World,1954,1882,1903,1941,1867,1806,1717,1623,1563,1509
GFPM,Roundwood Harvest (Mm3/yr),RCP 3.4,SSP4,RCP 3.4-SSP4,World,1954,1937,2056,2196,2191,2198,2162,2117,2072,2073
GFPM,Roundwood Harvest (Mm3/yr),RCP 3.4,SSP5,RCP 3.4-SSP5,World,1954,1937,2242,2633,2799,2972,2980,2955,2879,2783
GFPM,Roundwood Harvest (Mm3/yr),RCP 4.5,SSP1,RCP 4.5-SSP1,World,1954,2055,2294,2564,2645,2744,2738,2748,2686,2660
GFPM,Roundwood Harvest (Mm3/yr),RCP 4.5,SSP2,RCP 4.5-SSP2,World,1954,1954,2079,2224,2266,2330,2331,2352,2357,2408
GFPM,Roundwood Harvest (Mm3/yr),RCP 4.5,SSP3,RCP 4.5-SSP3,World,1954,1907,1950,2017,1965,1928,1879,1839,1812,1813
GFPM,Roundwood Harvest (Mm3/yr),RCP 4.5,SSP4,RCP 4.5-SSP4,World,1954,1954,2077,2219,2223,2246,2213,2193,2178,2195
GFPM,Roundwood Harvest (Mm3/yr),RCP 4.5,SSP5,RCP 4.5-SSP5,World,1954,1954,2266,2667,2854,3055,3078,3148,3129,3092
GFPM,Roundwood Harvest (Mm3/yr),Baseline,SSP1,Baseline-SSP1,World,1954,2056,2298,2570,2653,2752,2753,2762,2706,2672
GFPM,Roundwood Harvest (Mm3/yr),RCP 6.0,SSP2,RCP 6.0-SSP2,World,1954,1965,2093,2239,2284,2346,2355,2372,2371,2429
GFPM,Roundwood Harvest (Mm3/yr),RCP 6.0,SSP3,RCP 6.0-SSP3,World,1954,1952,2010,2081,2043,2019,1983,1948,1936,1931
GFPM,Roundwood Harvest (Mm3/yr),RCP 6.0,SSP4,RCP 6.0-SSP4,World,1954,1965,2091,2235,2242,2266,2237,2217,2199,2225
GFPM,Roundwood Harvest (Mm3/yr),RCP 6.0,SSP5,RCP 6.0-SSP5,World,1954,1965,2282,2683,2872,3076,3105,3178,3164,3173
GFPM,Roundwood Harvest (Mm3/yr),Baseline,SSP2,Baseline-SSP2,World,1954,2056,2205,2361,2405,2470,2480,2501,2498,2497
GFPM,Roundwood Harvest (Mm3/yr),Baseline,SSP3,Baseline-SSP3,World,1954,2056,2134,2208,2171,2146,2117,2083,2058,2017
GFPM,Roundwood Harvest (Mm3/yr),Baseline,SSP4,Baseline-SSP4,World,1954,2056,2203,2356,2361,2382,2356,2337,2308,2281
GFPM,Roundwood Harvest (Mm3/yr),Baseline,SSP5,Baseline-SSP5,World,1954,2056,2403,2819,3005,3213,3250,3308,3239,3214
GFPM,Forest Area (Mha),RCP 1.9,SSP1,RCP 1.9-SSP1,World,3997,3959,3954,3979,4026,4085,4153,4228,4307,4389
GFPM,Forest Area (Mha),RCP 1.9,SSP2,RCP 1.9-SSP2,World,3997,3959,3953,3971,4009,4062,4127,4203,4289,4382
GFPM,Forest Area (Mha),RCP 1.9,SSP4,RCP 1.9-SSP4,World,3997,3959,3953,3971,4008,4059,4123,4197,4282,4378
GFPM,Forest Area (Mha),RCP 1.9,SSP5,RCP 1.9-SSP5,World,3997,3959,3955,3985,4037,4098,4163,4229,4293,4355
GFPM,Forest Area (Mha),RCP 2.6,SSP1,RCP 2.6-SSP1,World,3997,3959,3954,3979,4026,4085,4153,4228,4307,4389
GFPM,Forest Area (Mha),RCP 2.6,SSP2,RCP 2.6-SSP2,World,3997,3959,3953,3971,4009,4062,4127,4203,4289,4382
GFPM,Forest Area (Mha),RCP 2.6,SSP4,RCP 2.6-SSP4,World,3997,3959,3953,3971,4008,4059,4123,4197,4282,4378
GFPM,Forest Area (Mha),RCP 2.6,SSP5,RCP 2.6-SSP5,World,3997,3959,3955,3985,4037,4098,4163,4229,4293,4355
GFPM,Forest Area (Mha),RCP 3.4,SSP1,RCP 3.4-SSP1,World,3997,3959,3954,3979,4026,4085,4153,4228,4307,4389
GFPM,Forest Area (Mha),RCP 3.4,SSP2,RCP 3.4-SSP2,World,3997,3959,3953,3971,4009,4062,4127,4203,4289,4382
GFPM,Forest Area (Mha),RCP 3.4,SSP3,RCP 3.4-SSP3,World,3997,3959,3952,3964,3992,4033,4086,4152,4231,4326
GFPM,Forest Area (Mha),RCP 3.4,SSP4,RCP 3.4-SSP4,World,3997,3959,3953,3971,4008,4059,4123,4197,4282,4378
GFPM,Forest Area (Mha),RCP 3.4,SSP5,RCP 3.4-SSP5,World,3997,3959,3955,3985,4037,4098,4163,4229,4293,4355
GFPM,Forest Area (Mha),RCP 4.5,SSP1,RCP 4.5-SSP1,World,3997,3959,3954,3979,4026,4085,4153,4228,4307,4389
GFPM,Forest Area (Mha),RCP 4.5,SSP2,RCP 4.5-SSP2,World,3997,3959,3953,3971,4009,4062,4127,4203,4289,4382
GFPM,Forest Area (Mha),RCP 4.5,SSP3,RCP 4.5-SSP3,World,3997,3959,3952,3964,3992,4033,4086,4152,4231,4326
GFPM,Forest Area (Mha),RCP 4.5,SSP4,RCP 4.5-SSP4,World,3997,3959,3953,3971,4008,4059,4123,4197,4282,4378
GFPM,Forest Area (Mha),RCP 4.5,SSP5,RCP 4.5-SSP5,World,3997,3959,3955,3985,4037,4098,4163,4229,4293,4355
GFPM,Forest Area (Mha),Baseline,SSP1,Baseline-SSP1,World,3997,3959,3954,3979,4026,4085,4153,4228,4307,4389
GFPM,Forest Area (Mha),RCP 6.0,SSP2,RCP 6.0-SSP2,World,3997,3959,3953,3971,4009,4062,4127,4203,4289,4382
GFPM,Forest Area (Mha),RCP 6.0,SSP3,RCP 6.0-SSP3,World,3997,3959,3952,3964,3992,4033,4086,4152,4231,4326
GFPM,Forest Area (Mha),RCP 6.0,SSP4,RCP 6.0-SSP4,World,3997,3959,3953,3971,4008,4059,4123,4197,4282,4378
GFPM,Forest Area (Mha),RCP 6.0,SSP5,RCP 6.0-SSP5,World,3997,3959,3955,3985,4037,4098,4163,4229,4293,4355
GFPM,Forest Area (Mha),Baseline,SSP2,Baseline-SSP2,World,3997,3959,3953,3971,4009,4062,4127,4203,4289,4382
GFPM,Forest Area (Mha),Baseline,SSP3,Baseline-SSP3,World,3997,3959,3952,3964,3992,4033,4086,4152,4231,4326
GFPM,Forest Area (Mha),Baseline,SSP4,Baseline-SSP4,World,3997,3959,3953,3971,4008,4059,4123,4197,4282,4378
