Country,Country-Code,ISO-Code,FAOCou-Code,ContinentOld,Income,Domain,ContinentNew,MagnetCou-Code,MagnetRegion,Carbon region,ContinentValidation
Algeria,a0,DZA,4,Africa,UM,Trp,Africa,xnf,MENA,Northern Africa,Africa
Angola,a1,AGO,7,Africa,UM,Trp,Africa,xac,SSA,Western and Central Africa,Africa
Benin,a2,BEN,53,Africa,L,Trp,Africa,ben,SSA,Western and Central Africa,Africa
Botswana,a3,BWA,20,Africa,UM,Trp,Africa,BWA,SSA,Western and Central Africa,Africa
Burkina Faso,a4,BFA,233,Africa,L,Trp,Africa,bfa,SSA,Western and Central Africa,Africa
Burundi,a5,BDI,29,Africa,L,Trp,Africa,xec,SSA,Western and Central Africa,Africa
Cameroon,a6,CMR,32,Africa,LM,Trp,Africa,CMR,SSA,Western and Central Africa,Africa
Cape Verde,a7,CPV,35,Africa,LM,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Central African Republic,a8,CAF,37,Africa,L,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Chad,a9,TCD,39,Africa,L,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
"Congo, Republic of",b0,COG,46,Africa,LM,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Côte d'Ivoire,b1,CIV,107,Africa,LM,Trp,Africa,civ,SSA,Western and Central Africa,Africa
Djibouti,b2,DJI,72,Africa,LM,Trp,Africa,xec,SSA,Eastern and Southern Africa,Africa
Egypt,b3,EGY,59,Africa,LM,Trp,Africa,EGY,MENA,Northern Africa,Africa
Equatorial Guinea,b4,GNQ,61,Africa,H,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Ethiopia,b5,ETH,238,Africa,L,Trp,Africa,ETH,SSA,Eastern and Southern Africa,Africa
Gabon,b6,GAB,74,Africa,UM,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Gambia,b7,GMB,75,Africa,L,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Ghana,b8,GHA,81,Africa,LM,Trp,Africa,GHA,SSA,Western and Central Africa,Africa
Guinea,b9,GIN,90,Africa,L,Trp,Africa,gin,SSA,Western and Central Africa,Africa
Guinea-Bissau,c0,GNB,175,Africa,L,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Kenya,c1,KEN,114,Africa,L,Trp,Africa,KEN,SSA,Eastern and Southern Africa,Africa
Lesotho,c2,LSO,122,Africa,LM,SubTrp,Africa,xsc,SSA,Eastern and Southern Africa,Africa
Liberia,c3,LBR,123,Africa,L,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Libyan Arab Jamahiriya,c4,LBY,124,Africa,UM,Trp,Africa,xnf,MENA,Northern Africa,Africa
Madagascar,c5,MDG,129,Africa,L,Trp,Africa,MDG,SSA,Eastern and Southern Africa,Africa
Malawi,c6,MWI,130,Africa,L,Trp,Africa,MWI,SSA,Eastern and Southern Africa,Africa
Mali,c7,MLI,133,Africa,L,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Mauritania,c8,MRT,136,Africa,LM,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Mauritius,c9,MUS,137,Africa,UM,Trp,Africa,MUS,SSA,Eastern and Southern Africa,Africa
Morocco,d0,MAR,143,Africa,LM,SubTrp,Africa,MAR,MENA,Northern Africa,Africa
